method, train_mse, train_var_ratio_to_truth, test_mse, test_var_ratio_to_truth
FM, 5.435572e+00, 2.187134e+01, 6.136370e+00, 2.311359e+01
cFM_orig, 2.335152e+00, 9.396048e+00, 2.343624e+00, 8.827624e+00
cFM_sparse, 4.092011e-01, 1.646519e+00, 5.259918e-01, 1.981230e+00
FM, 2.794842e-01, 1.067756e+00, 3.584677e-01, 1.191772e+00
cFM_orig, 2.786037e-01, 1.064392e+00, 3.878292e-01, 1.289388e+00
cFM_sparse, 2.784406e-01, 1.063769e+00, 3.875585e-01, 1.288488e+00
FM, 2.393778e-01, 1.002316e+00, 3.099998e-01, 1.247017e+00
cFM_orig, 4.612704e-01, 1.931419e+00, 5.575305e-01, 2.242743e+00
cFM_sparse, 3.101057e-01, 1.298466e+00, 3.999143e-01, 1.608710e+00
FM, 2.595233e-01, 1.114942e+00, 2.001053e-01, 1.022918e+00
cFM_orig, 2.952728e-01, 1.268527e+00, 2.076530e-01, 1.061500e+00
cFM_sparse, 2.925498e-01, 1.256828e+00, 2.058871e-01, 1.052473e+00
FM, 4.465716e-01, 1.953348e+00, 5.857068e-01, 2.277775e+00
cFM_orig, 1.495722e+00, 6.542436e+00, 1.741904e+00, 6.774148e+00
cFM_sparse, 3.139290e-01, 1.373156e+00, 4.642665e-01, 1.805502e+00
