method, train_mse, train_var_ratio_to_truth, test_mse, test_var_ratio_to_truth
FM, 2.429088e-01, 1.072976e+00, 3.303715e-01, 1.124681e+00
cFM_orig, 4.940532e-01, 2.182331e+00, 4.715700e-01, 1.605363e+00
cFM_sparse, 2.964195e-01, 1.309344e+00, 3.553615e-01, 1.209755e+00
FM, 2.935954e-01, 1.028579e+00, 2.852397e-01, 1.056633e+00
cFM_orig, 7.765728e-01, 2.720637e+00, 9.659483e-01, 3.578230e+00
cFM_sparse, 3.371230e-01, 1.181073e+00, 4.204020e-01, 1.557324e+00
FM, 2.294346e-01, 1.002985e+00, 2.437101e-01, 1.057244e+00
cFM_orig, 1.480519e+00, 6.472160e+00, 1.514573e+00, 6.570400e+00
cFM_sparse, 2.825468e-01, 1.235167e+00, 3.460550e-01, 1.501228e+00
FM, 5.918748e-01, 2.401582e+00, 6.692406e-01, 3.157529e+00
cFM_orig, 2.772377e+00, 1.124915e+01, 2.939219e+00, 1.386747e+01
cFM_sparse, 3.270394e-01, 1.326990e+00, 3.877991e-01, 1.829667e+00
FM, 4.999496e-01, 1.753221e+00, 5.202053e-01, 2.513272e+00
cFM_orig, 2.231816e+00, 7.826521e+00, 2.651091e+00, 1.280824e+01
cFM_sparse, 3.727027e-01, 1.306992e+00, 4.179943e-01, 2.019459e+00
