method, train_mse, train_var_ratio_to_truth, test_mse, test_var_ratio_to_truth
FM, 5.666320e-01, 2.270602e+00, 7.303608e-01, 3.157733e+00
cFM_orig, 3.670102e-01, 1.470680e+00, 4.281336e-01, 1.851046e+00
cFM_sparse, 3.663806e-01, 1.468157e+00, 4.273717e-01, 1.847752e+00
FM, 2.873436e-01, 1.037601e+00, 3.234026e-01, 1.082032e+00
cFM_orig, 5.535092e-01, 1.998727e+00, 6.787678e-01, 2.271003e+00
cFM_sparse, 4.916818e-01, 1.775468e+00, 5.806258e-01, 1.942642e+00
FM, 5.910073e-01, 2.332847e+00, 4.918335e-01, 1.967164e+00
cFM_orig, 5.211362e-01, 2.057049e+00, 4.179675e-01, 1.671726e+00
cFM_sparse, 4.421458e-01, 1.745255e+00, 3.611509e-01, 1.444479e+00
FM, 7.665206e-01, 2.982806e+00, 6.653300e-01, 3.073175e+00
cFM_orig, 5.533540e-01, 2.153299e+00, 3.967104e-01, 1.832415e+00
cFM_sparse, 5.002061e-01, 1.946481e+00, 3.660482e-01, 1.690785e+00
FM, 4.422946e-01, 1.685457e+00, 4.494822e-01, 1.691419e+00
cFM_orig, 3.730714e-01, 1.421667e+00, 3.923106e-01, 1.476280e+00
cFM_sparse, 3.714208e-01, 1.415377e+00, 3.909187e-01, 1.471043e+00
