method, train_mse, train_var_ratio_to_truth, test_mse, test_var_ratio_to_truth
FM, 2.663693e-01, 1.120176e+00, 2.264297e-01, 1.080547e+00
cFM_orig, 3.789258e-01, 1.593516e+00, 3.802986e-01, 1.814825e+00
cFM_sparse, 3.154374e-01, 1.326525e+00, 3.082284e-01, 1.470899e+00
FM, 3.473056e-01, 1.204828e+00, 3.538523e-01, 1.487515e+00
cFM_orig, 5.248534e-01, 1.820755e+00, 4.504003e-01, 1.893381e+00
cFM_sparse, 3.568800e-01, 1.238043e+00, 3.344559e-01, 1.405977e+00
FM, 3.838966e-01, 1.454076e+00, 4.254063e-01, 1.502965e+00
cFM_orig, 6.222178e-01, 2.356759e+00, 5.969158e-01, 2.108910e+00
cFM_sparse, 3.923920e-01, 1.486253e+00, 3.772901e-01, 1.332970e+00
FM, 2.981340e-01, 1.163241e+00, 3.062568e-01, 1.201770e+00
cFM_orig, 8.591018e-01, 3.351992e+00, 8.772860e-01, 3.442521e+00
cFM_sparse, 3.771426e-01, 1.471513e+00, 4.408047e-01, 1.729743e+00
FM, 3.234406e-01, 1.338852e+00, 3.358604e-01, 1.373849e+00
cFM_orig, 2.582225e-01, 1.068887e+00, 2.763703e-01, 1.130503e+00
cFM_sparse, 2.565678e-01, 1.062038e+00, 2.750543e-01, 1.125120e+00
